검색어,플랫폼,게시물 URL,게시물 제목,게시물 내용,게시물 등록일자,계정명,수집시간
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=pol_left&no=4613&keyword=KBS,"민주당 자사주 소각 의무화 3차 상법 개정, 연내 마무리",코스피 5천 가즈아,2025-12-12,해피가이,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756543&keyword=KBS,매일 하나씩 망해요.. '사상 최대' 폐업중인 이 사업,정확히는 하루 하나가 아니고 하루 1.6개 망한다네요. 분양가는 지방도 같이 올랐다는데?? ! 지금 SBS 휘청휘청 / KBS 휘청휘청 홈플 = 부도 확정 한국GM = 빤스런 확정 건설 = 태영 / 롯데 등등 홈플러스 부터 제대로 된 메세지 줘야 한다고 봅니다. 응 세금으로 절대 안살려줘!!! 누구 살려주고 누구 안살려주고 응 모두 안살려 메세지 줘야합니다.,2025-12-12,kuma777,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757013&keyword=KBS,KBS 저출산 위기대응 신상 프로그램 ㄷㄷ,,2025-12-12,바람의엘케인,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757010&keyword=KBS,주말 TV 영화 편성표,"안녕하세요 한 주간 수고 많으셨습니다 편안한 주말 보내세요 12.12(금) OCN <페라리> 22:00 KBS1 독립영화관 <해야 할 일> 23:30 EBS 스페이스 공감 <인디음악 30주년 특별기획_파이오니아 시리즈 - 자우림> 24:00 EBS   EIDF 걸작선 <베르메르에 가까이> 24:50 13(토) OCN <귀멸의 칼날: 남매의 연> 09:30 <귀멸의 칼날: 아사쿠사편> 11:30 <귀멸의 칼날: 장구저택편> 13:40 <귀멸의 칼날: 나타구모산 편> 15:30 <귀멸의 칼날: 주합회의·나비저택 편> 18:20 <극장판 귀멸의 칼날: 무한열차편> 20:20 OBS 시네마 <쓰리데이즈 투 킬> 12:10 EBS2 토요극장 <까미유 끌로델 2부> 17:00 OBS <전기현의 씨네뮤직 - 장만옥> 20:55 EBS 세계의명화 <뮤직 박스> 22:45 KBS1 <인생이 영화 - 꽃의 도시 피렌체에서 조우한 배우 김민종, 예지원> 23:05 14(일) OCN <귀멸의 칼날: 환락의 거리 잠입편> 10:30 <귀멸의 칼날: 환락의 거리 결전편> 13:00 <귀멸의 칼날: 도공 마을 적습편> 15:30 <귀멸의 칼날: 도공 마을 이어진 인연편> 18:10 <귀멸의 칼날: 합동 강화 훈련 개막편> 21:00 <귀멸의 칼날: 합동 강화 훈련 주집결편> 23:00 EBS 일요시네마 <코만체로스> 13:25 OBS 시네마 <쓰리데이즈 투 킬> (재) 23:35 EBS 한국영화특선 <스윙키즈> 23:00 독립영화관 <해야 할 일>  EIDF 걸작선 <베르메르에 가까이>  <뮤직 박스>  <코만체로스>  <스윙키즈>  인생이 영화 <꽃의 도시 피렌체에서 조우한 배우 김민종, 예지원>  <전기현의 씨네뮤직> 다시보기",2025-12-12,흐린날씨,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756879&keyword=KBS,통일교 입에서 민주당인사 이름 나와서 kbs아주 신났네요,앵커가 문재인(정부) 전재수 워딩할때 무슨 웅변하는줄ㅋㅋ 아무튼 저걸로 한동안 쭉 민주당이나 내란당이나 시전하겠네요 파우치박TV ㅋㅋㅋㅋ,2025-12-12,kf80,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756754&keyword=KBS,KBS 저출산 위기 대응 신상 프로그램 ㄷㄷ,ㄷㄷㄷ,2025-12-12,lfsate,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=pol_left&no=4613&keyword=KBS,"민주당 자사주 소각 의무화 3차 상법 개정, 연내 마무리",코스피 5천 가즈아,2025-12-12,해피가이,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756543&keyword=KBS,매일 하나씩 망해요.. '사상 최대' 폐업중인 이 사업,정확히는 하루 하나가 아니고 하루 1.6개 망한다네요. 분양가는 지방도 같이 올랐다는데?? ! 지금 SBS 휘청휘청 / KBS 휘청휘청 홈플 = 부도 확정 한국GM = 빤스런 확정 건설 = 태영 / 롯데 등등 홈플러스 부터 제대로 된 메세지 줘야 한다고 봅니다. 응 세금으로 절대 안살려줘!!! 누구 살려주고 누구 안살려주고 응 모두 안살려 메세지 줘야합니다.,2025-12-12,kuma777,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757357&keyword=KBS,테라 권도형 130년 대신 징역 15년 선고..,,2025-12-12,너의이름을,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757013&keyword=KBS,KBS 저출산 위기대응 신상 프로그램 ㄷㄷ,,2025-12-12,바람의엘케인,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9757010&keyword=KBS,주말 TV 영화 편성표,"안녕하세요 한 주간 수고 많으셨습니다 편안한 주말 보내세요 12.12(금) OCN <페라리> 22:00 KBS1 독립영화관 <해야 할 일> 23:30 EBS 스페이스 공감 <인디음악 30주년 특별기획_파이오니아 시리즈 - 자우림> 24:00 EBS   EIDF 걸작선 <베르메르에 가까이> 24:50 13(토) OCN <귀멸의 칼날: 남매의 연> 09:30 <귀멸의 칼날: 아사쿠사편> 11:30 <귀멸의 칼날: 장구저택편> 13:40 <귀멸의 칼날: 나타구모산 편> 15:30 <귀멸의 칼날: 주합회의·나비저택 편> 18:20 <극장판 귀멸의 칼날: 무한열차편> 20:20 OBS 시네마 <쓰리데이즈 투 킬> 12:10 EBS2 토요극장 <까미유 끌로델 2부> 17:00 OBS <전기현의 씨네뮤직 - 장만옥> 20:55 EBS 세계의명화 <뮤직 박스> 22:45 KBS1 <인생이 영화 - 꽃의 도시 피렌체에서 조우한 배우 김민종, 예지원> 23:05 14(일) OCN <귀멸의 칼날: 환락의 거리 잠입편> 10:30 <귀멸의 칼날: 환락의 거리 결전편> 13:00 <귀멸의 칼날: 도공 마을 적습편> 15:30 <귀멸의 칼날: 도공 마을 이어진 인연편> 18:10 <귀멸의 칼날: 합동 강화 훈련 개막편> 21:00 <귀멸의 칼날: 합동 강화 훈련 주집결편> 23:00 EBS 일요시네마 <코만체로스> 13:25 OBS 시네마 <쓰리데이즈 투 킬> (재) 23:35 EBS 한국영화특선 <스윙키즈> 23:00 독립영화관 <해야 할 일>  EIDF 걸작선 <베르메르에 가까이>  <뮤직 박스>  <코만체로스>  <스윙키즈>  인생이 영화 <꽃의 도시 피렌체에서 조우한 배우 김민종, 예지원>  <전기현의 씨네뮤직> 다시보기",2025-12-12,흐린날씨,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756879&keyword=KBS,통일교 입에서 민주당인사 이름 나와서 kbs아주 신났네요,앵커가 문재인(정부) 전재수 워딩할때 무슨 웅변하는줄ㅋㅋ 아무튼 저걸로 한동안 쭉 민주당이나 내란당이나 시전하겠네요 파우치박TV ㅋㅋㅋㅋ,2025-12-12,kf80,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756754&keyword=KBS,KBS 저출산 위기 대응 신상 프로그램 ㄷㄷ,ㄷㄷㄷ,2025-12-12,lfsate,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=pol_left&no=4613&keyword=KBS,"민주당 자사주 소각 의무화 3차 상법 개정, 연내 마무리",코스피 5천 가즈아,2025-12-12,해피가이,2025-12-12
KBS,웹페이지(뽐뿌),https://www.ppomppu.co.kr/zboard/view.php?id=freeboard&no=9756543&keyword=KBS,매일 하나씩 망해요.. '사상 최대' 폐업중인 이 사업,정확히는 하루 하나가 아니고 하루 1.6개 망한다네요. 분양가는 지방도 같이 올랐다는데?? ! 지금 SBS 휘청휘청 / KBS 휘청휘청 홈플 = 부도 확정 한국GM = 빤스런 확정 건설 = 태영 / 롯데 등등 홈플러스 부터 제대로 된 메세지 줘야 한다고 봅니다. 응 세금으로 절대 안살려줘!!! 누구 살려주고 누구 안살려주고 응 모두 안살려 메세지 줘야합니다.,2025-12-12,kuma777,2025-12-12
